Emotion,Text
9344,sadness,Jesus felt despair and sorrow to such an extent that there is a mood of desperation in the story . 
9345,fear,"Climbing a mountain, I got stuck and realized I could get neither up nor down."
9346,joy,Just spend TWO hrs talking about God with this amazing belly dance award winner and teacher! She rededicated her life to God! 
9347,joy,When I gave birth to a child and saw that it was normal when it was put against my breast.
9348,sadness,Girl I was fond of did not initiate conversation as I expected in tutorial.
9349,joy,Had to put up Xmas decorations covered in glitter at work today. Now I'll be spending the rest of 2011 trying to get it all off me. 
9350,joy,@Alexis_a15 ooh to where? we talked about going to california but we would be driving....and you know. me and my family and car rides 
9351,neutral,Hello ! 
9352,disgust, RT @Chi_Manni: Chick fil A is not that effin good that it nds 3 drive thrus...3??? Really! 
9353,joy,Full day of basketball  Men's game at Bridgeport University in CT accompanied by a 3.5 hour bus ride each way. 
9354,fear,When I broke my leg I felt fear.
9355,surprise,@mistamann22 lol you think i'm gonna spoil you guys every thursday smh...when you least expect is when i'll give 
9356,fear,"Jus kno tht Im in debt for u, defendin all our dreams.. i hope u tell ur Families this Shit aint wat it Seems..I got u  havno "
9357,joy,Love when you get a descripiton of the robber on your answering machine 
9358,sadness,I was in a car accident on the way back from a weekend rowing regatta we'd won. 5 others were in the car. I thought I'd never be able to row again.
9359,fear, He makes me nervous . He looks at me funny . And he never buys anything ! 
9360,surprise,"Thought I had tests in two of my three classes today. Turns out I was wrong, it was actually three of my three classes had tests. "
9361,sadness, I just don ’ t want to play table tennis any more . 
9362,surprise,"listening to some @UsherRaymondIV throwbacks. pretty sure im going to marry him one day, he just doesnt know it yet! "
9363,anger,When my brother did not send me the transport money to resume my studies in time at university.
9364,joy," A lot . I probably got to moonlight for the rest of my life , but so what , it ’ s worth it . Come on , get in . Let ’ s take a drive . "
9365,sadness,He was not inconsolable . 
9366,surprise,happy birthdayyyyy  @jesshea1202 i love you so much pretty girl! i hope you liked your party haha
9367,joy,When my friend told me that he would come and meet me in a moment.
9368,sadness,A friend breaking up with her boyfriend.
9369,joy,My mom just said that the Thurmans are coming over Friday night 
9370,anger,When I missed the tram after having run for it.
9371,fear, is not a strategy  is not a factor is not an option
9372,joy,We are pleased to see the guidance state unequivocally that major retail developments are inappropriate in Green Belts . 
9373,anger,I broke my glasses in half 
9374,anger,[can't resist and pokes Magnus with the angry stick] RT @BadassBane: 
9375,anger,My parents were having a typical family argument.  I came in and saw the scene and became angry.
9376,fear,:S eiisos soniidos en la habiitación ia no son  normaLes! :S 
9377,anger, I'm not at all convinced . Tomorrow is Saturday ! 
9378,surprise,Going to El Paso for 2 weeks for christmas to see my wonderful mother. :) @ricapica !
9379,joy,Seeing my sister after about 2 years of not seeing her. Only spent 1 hour or so before she was off overseas with her husband for 3 months.
9380,joy,Hanging out with nick tomorrow. Than going to liams play... 
9381,joy,"Sit at the bar: expect to watch ESPN. Sit at the bar, become updated on Jerry Sandusky's child sex scandal. "
9382,sadness,"*sigh* so if things are not often as they appear or I won't it to be seen, I guess theres no hope about... "
9383,joy,gonna be on the road for 6 hours today. #sarcasm
9384,anger,"Plummer wanted to know , a note of exasperation in his voice . "
9385,fear,Almost had a bicycle accident.
9386,disgust, because vengeance is free. but the price payed takes work. 
9387,anger,When my husband stays late at a meeting and I have to be alone.
9388,surprise,I luv wen ppl play &quot
9389,fear,The time I was threatened with expulsion from secondary school (form four).
9390,anger,Once a person in authority (school teacher) was telling blatant lies about me and the headmistress would not let me defend myself. She was also telling lies about other members of my family.
9391,joy,so maybe ill get in bed by 330...thatd b great!!! 2 tests tomorrow.. then studying all day for tuesdays...
9392,fear,@ToulasTake I have never had a pomelo! They're so giant I'm scared to buy one. In Superstore they're all &quot
9393,anger,"LIVID Mia Farrow beat her adopted daughter Soon-Yi with a chair after finding out about her affair with Woody Allen , it was claimed yesterday . "
9394,surprise,yeah! 5 euro beltegoed gewonnen met  #code :) Nice!
9395,fear,"Ukw, I think I'm scared. is a beast! Cripples u in the worst type way."
9396,joy,@m3357 They all sit outside after mass packing away of furniture to discuss the finer things in life and I can hear them from my desk.
9397,joy,"Fantastic December day= Blue sky, sunshine, 39 degrees. Long walks w/ BF. Lunch at a French Bakery. It's the little things. "
9398,anger," That ’ s exactly what I am going to do ! I ’ Ve decided to create my own company ! I ’ m going to write up a business plan , get some investors and start working for myself ! "
9399,joy,Tweetin For My Big Brovaa Since His Fatt Ass Wanna Take Snack Breaks n Shitt.! 
9400,neutral, Why not ? 
9401,sadness,Only if I had a time machine I would have prevented that fight which ruined my life 
9402,joy,On the couch with my feet up with my beautiful new boots #loveit
9403,joy, You're welcome . Did you have a good time on this vacation ? 
9404,anger, I'll beat him . 
9405,sadness,Rune frowned as his eagle-eyed regard read the despair on her face . 
9406,joy,Bout to fail this eye exam 
9407,neutral, It's brown . 
9408,anger,"` I mean , look at this one , "" said the interviewer , becoming quite indignant and picking one of the schools ' letters contemptuously from the pile . "
9409,joy,"Guess what, @Alternadoll : I'm writing my final paper on  ! "
9410,joy,"She cackled , delighted with the queasy mixture on the plate , hot brown coffee lapping at the pale wedge of sugared pastry . "
9411,sadness,From the fact that my husband and I are not in good terms.
9412,neutral, January 5th . 
9413,joy,Microbiology test tmrw = No life for the rest of the day/night.. 
9414,fear,That even more awkward moment when you have access commas. 
9415,joy,I was doing an experiment and was not getting the appropriate result despite the fact that I had repeated the procedure 4-5 times.  Then finally I got it right by a stroke of luck.
9416,fear,“Only one thing is more frightening than speaking your truth. And that is not speaking.” by   
9417,anger,"Oh, fuck me sideways, this isn't a real thing!? Fuckin' @billplunkettocr plays my rage against me again! first. #management second."
9418,disgust,Now I am in a video showing someone popping what looks like an infected cyst. YOUTUBE WHY?! BRAIN WHY WONT U STOP being so curious. 
9419,joy,It's such an awesome feeling when someone is genuinely happy to see you. Especially when that someone is a cutie patiootie little kid! 
9420,sadness,@kaitlinsaney I don't go outside....only when extremely necessary... My Starbucks consumption has decreased dramatically 
9421,joy,Put some christmas light up. Now dad said he need to go buy more!!!!. 
9422,fear,I felt it when I sat for my exam in anatomy.
9423,joy,Too much on my mind and a pile of homework 
9424,joy,It was when I was selected to go to a Secondary school to start form I.
9425,fear,"I don't mind those who disagree with Marijuana legalization, I do mind when their arguments are not based in fact.  "
9426,surprise,Unexpected finger prick at the doctors #ouchieee
9427,joy,"` How pleased your uncle will be , "" said Finn , loitering for hot shaving water . "
9428,fear,"not afraid of tomorrow, for I have seen yesterday and I love today #less"
9429,joy,"The book also moves close to a highly critical analysis of science and yet never becomes anti-science , only anti-scientific : Jones 's own delight in physics enthusiastically drawing the sting out of his own criticism . "
9430,anger,I need to calm down. Have so much venom inside me 
9431,neutral," Yes , so I want to learn French to develop my career . "
9432,anger,Her mother would be cross and he would feel stupid . 
9433,joy,Okay.  Time to show what talent  we've got hidden away. Can't wait to see everyone!  #england
9434,neutral, Yes . 
9435,joy,My Other Bestfriends Upset So Now I Gotta Go Beat Her Ass Lmfao 
9436,surprise,National spill your drink day in 3rd lunch 
9437,fear,"As a gentleman of considerable physique , Guttersnipe is naturally alarmed at such prejudice against the nutritionally challenged . "
9438,fear,"Perhaps it was something in the dowager-duchess 's voice that caused it , but Joan to her own dismay burst into tears . "
9439,sadness,"It is her whole situation -- she is so mournful and silently accusing and sometimes , Robert , I think her as mad as Landor with all this nonsense she makes of the Bible from time to time . "
9440,sadness,That one moment. Katniss and gale. I read it as if it were you and I.   
9441,joy, jammin morning. unspeakable. Yesterday's rain inspired me grace &amp
9442,sadness,@peachandblue I succumbed to the germs going around the office. Le sigh. No sick days yet either. 
9443,joy,"Makes me smile that I can now delete my accidental tweets from my iPhone with this new Twitter, and not have to jump on the laptop :) "
9444,disgust,It is so nasty seeing someones bare feet on the dashboard...
9445,sadness,He looked so woebegone . 
9446,neutral," You won't play online games full of violence , will you ? "
9447,anger,"You, you had my hopes up and you slaped me in the face. You let her DIE. How? How in the world could you do that to me?  "
9448,sadness,"I wanna let her ride, till she arrives, and let it drip down my throat......"
9449,joy,Working 3 to 11 at the nursing home. 
9450,sadness,I miss my super cool  sunglasses that broke. 
9451,surprise, my mom went to the w/c &amp
9452,sadness,i want my laptop:( and my phone:( and my ipod:( why must this happen all in the same week? #why
9453,fear,"&quot;I have no fear, for fear is the little death that kills me over and over. Without fear, I die but once.&quot; "
9454,anger,"Bank customers are notoriously slow to shift their business , even if they are miffed . "
9455,sadness,"At their graves their families would unite with their beloved over a memorial meal and a drink , easing their grief in recreating the family intimacy , only transiently ruptured . "
9456,disgust,"I Really Dislike Natural AFFness, I don't mind ina jokey way or a couple words here &amp; there, but PROPER AFF "
9457,surprise,@andrea_faz I think Charlie should compete in the dog show next year.   #bang!
9458,neutral, It's 112 . 
9459,anger,When I was charmed by my relatives.
9460,anger,"Getting a terrible exam mark, which I couldn't understand the reason for, and trying to see a lecturer or tutor, but being given the runaround."
9461,sadness,Her grief at his death was deep and sincere . 
9462,sadness,When I got to know that my father had passed away.
9463,fear,"Courage is resistance to fear, mastery of fear - not absence of fear........................... Mark Twain   #courage"
9464,joy,Movie night with the parents &lt
9465,shame,It 's getting so I 'm almost ashamed to get paid . 
9466,sadness,My father died. I was away at the time and did not know until two days after.
9467,sadness,Officially a youth graduate. 
9468,fear,Assaulted by drunken neighbour.
9469,sadness,When a good friend with whom I had an intimate relationship made clear that he didn't want to continue in the same way. He choose his girlfriend (also a friend of mine).
9470,joy,Took the kids to Santa's grotto at Smith &amp
9471,sadness,"i have this old acne scar on my neck, all my coworkers think it's a hickey, i just say 'no, it was a zit' "
9472,sadness,Disappointed love. The girl made an end to our relationship while I thought she was in love with me.
9473,joy,Finally home...and now for revision for my 2 tests tomorrow 
9474,joy,But Richard 's elation at regaining his health was short lived because his kidneys started to fail . 
9475,joy, Great . I just got back from a week's vacation in Thailand . 
9476,joy,Italian English and Math homework. 
9477,anger,"When I was forced to call the telephone company about a bill concerning a disconnected phone belonging to my landlord.  The bill was four months overdue and in the meanwhile he had been using my phone, he seemed to have no intention of having his own phone reconnected."
9478,joy,FOLLOW ME &amp
9479,joy,Greatest : Being appreciated for things you did without any expectations
9480,joy,"I could never have agreed to such a plan , but was pleased at Mick 's change of mood . "
9481,neutral, Thank you . 
9482,sadness,She looked utterly desolate and all of her thirty-eight years 
9483,fear,The court expressed dismay that Wiltshire Social Services had called in a voluntary agency to help look after him . 
9484,fear,large crowds of manic football fans &amp
9485,sadness,@covergirl_2013 they are nothing but a one sided news cast anyway so that's expected
9486,sadness,My mother made breakfast this morning and I missed it.... 
9487,neutral, What for ? 
9488,fear,Apparently the only dozen liberals in the south survived the zombie apocalypse.  #guns #WalkingDead #retards
9489,joy,"procrastinated for 5 days. now I have to memorize a script, write a paper, finish homework that was already late, make a vid for class "
9490,joy,Back in the blessed land of ephraim 
9491,joy,"Of all the journalists who made the pilgrimage to Dovercourt , the team from the BBC caused the greatest excitement . "
9492,anger,"She was still mad at Lucy for something , and Lucy was sure that a little time and concentration would tell her what  but for the moment , somehow , the knowledge was just out of reach . "
9493,surprise,Maar is een keer aan mn gedicht beginnen voor morgen en morgen na school ook maar even cadeautjes kopen 
9494,anger, No way ! Please don't follow me around . 
9495,joy,"She was already feeling a bit better and she felt quite amused at this cool domination , especially as she was not going to pay any attention to it . "
9496,neutral, How short ? 
9497,anger,"The challenge was accepted and amidst cheers from a group of inebriated local husbands , the offended owner headed out the door in search of a couple of friendly Gardai . "
9498,fear,thought it had me.. #Fear was thinking wrong !
9499,sadness,@frankie__says I did see earlier tweets. But I've now exposed you as a Brooker-pilfering charlatan.   
9500,joy,":) @SheQuotesNow &quot;If pure, uplifting, inspirational is your guide, your heart will open &amp; smile.&quot;  @PsychicRegistry"
9501,fear,"@NicholasSauer I Owe, I Owe, It's Off to Work I Go!! Honk If You're Paying My Mortgaage!   "
9502,sadness, I'm glad to help you . But what is it you want to ask about ? 
9503,anger, I don't find this fair . 
9504,sadness,"By creating all of this bullshit technology, ppl are actually losing basic intelligence.... "
9505,joy,Completed my workout session for the day. Next task to attack: memorize all the bones of the skull. 
9506,disgust,Yuck! I just tried sea snails and they are huge! Looking at that shits me! Or maybe I'm just a tad bit bothered.
9507,neutral," Yes , I have nothing to do . "
9508,fear,Demain je passe l'après midi seul avec @kwakos dans une cave. Ca sent le kwakontest rectibrosse. 
9509,fear,@ElGenerico Fun entertaining match at last night vs. Togo. Picked up the Los Angelitos de Generico shirt last night. Thanks 4 signing.
9510,joy, Sound like everything is great . 
9511,sadness,We gather strength from and from pain Each time we die we learn to live again.
9512,joy,"For a girl brought up in a Christian Science home there was a certain frightening kind of excitement about medicine , like drink for a teetotaller ; but otherwise she found the work harrowing and repellent . "
9513,sadness,When one of my closest friends failed to make it to the third year of university.
9514,surprise,@FfionHughes will be home tomorrow lad.. Miss sister sledge haha @Rhian_23  
9515,anger,Wing mirror taken off by some bastard whilst i was in Sainsburys
9516,sadness,"these ads that come on the side saying flirting has never been so easy. man, why is the world filled with desperate people i say "
9517,anger,"A friend of mine uses butter instead of oil when he is cooking. I am always angry about that, because it is an unnecessary luxury. Recently we both were cooking and he wanted to use butter again. When I had already put the oil into the pan, he poured it out again and put the butter into the pan."
9518,fear,I find myself sprinting but it doesnt hurt as much on my hamstring no more...is leaving
9519,neutral, How much ? 
9520,sadness,i wanna make sure everyone knows that @fanzoid321 is the one trying to post his # on is anyone up. Josh  needs to get laid.. bad.. 
9521,joy,Just now got home from work now I must shower and take a power nap before class
9522,joy,reject unhappiness n choose *u noe urslf:)*
9523,sadness,"Holy shit, that was a good show. I'll miss you @shaneshane.  NYC is lucky to have you. #joy #pons"
9524,surprise,I was astonished at the smallness of the area which these enclosed . 
9525,joy,Got through first semester University.
9526,sadness," Oh , no ! What happened ? "
9527,neutral, I hope so . 
9528,fear,only 10 am and i feel a janet jackson-esque wardrobe malfunction coming on. 
9529,anger,You honestly fucking disgust me. That's so out of order it's not even remotely acceptable. 
9530,sadness,“@Jaydanger12: My bro mike leaves for boot camp in a week :(” 
9531,sadness,When my first girlfriend an I left each other.
9532,joy,TO THE WORLD! THE #LORD HAS COME! LET EARTH RECEIVE HER KING!!!!!! #bejoyful
9533,sadness,Feeling unable to preserve one's ideas and ambitions as innocent as they are when you are young.
9534,sadness,"So I got very , very depressed about it all and I just said to the officers , ` Put me in my cell and leave me alone . "
9535,joy,"The day when my son said for the first time \mummy\""."""
9536,sadness,Sometimes our bodies and minds seek excuses to experience griefs that we may have put aside or denied because we could n't face them at the time . 
9537,joy,Coming early for a massage is just heavenly! I must be their first customer of the day. 
9538,joy,Tonight it's going to be a looooonnnggg night. Didn't do any b day homework over the weekend.. 
9539,joy,"i screwed myself over when it came to having any chance of sleep. Stayed up late last night, slept in super late this morning  "
9540,sadness,@AmyWhetstone91 I feel like that light going out was symbolic of our hope dying. 
9541,fear,"&quot;@RevRunWisdom: not afraid of tomorrow, for I have seen yesterday and I love today #less&quot;"
9542,anger,It should be a sin to play 'Frosty the Snowman' when there is no snow outside! 
9543,joy,"` Didn't seem too pleased about something . "" "
9544,joy,My heart is so happy today  #love #peace #greatful
9545,joy,Home and no one to talk to on a Friday night ? . Taking a #BubbleBath
9546,joy,@karaswisher wait... so don't leave @tmobile yet.. there is still hope? 
9547,anger,Holding on to is like grasping Hot coal with intention of throwing it at someone else.... #YOU ARE THE ONE WHO GET #BURNED
9548,fear, I was stuck between 15th and 16th floors in the elevator . 
9549,sadness,"I love the  cover album, but.. Justin Beiber? Really. "
9550,anger,"Suppressing her annoyance at being called "" Little Sara "" , she replied that all was well . "
9551,joy,Why even bother looking presentable today? I have one 50 minute class 
9552,fear," last forever, last til the person gets over it and confronts it or til someone badder comes along."
9553,neutral, OK . I see . 
9554,joy,Starting my Christmas shopping today! Tis the season to give  I might even set up my Christmas tree today  
9555,disgust, does just make me throw up a lil in my mouth... 
9556,surprise,"To Twitter &amp; Facebook Police- Santa Clause isn't real, some people think cucumbers taste better pickled, &amp; OJ did that shit. "
9557,anger,I went out dancing and found my boyfriend kissing another girl.
9558,neutral, I won't . 
9559,sadness,Gay marriage isn't legal yet and I found out my ex is already engaged. #envy #dieinafire
9560,sadness, Is The Friend That Wants You Around...Is The Enemy That Wants To Keep You Down...Choose to be #HAPPY!!!! :-)
9561,joy,Just got the christmas tree. Now to decorate it on my own -_- 
9562,surprise,The fugitive is such a good movie  
9563,joy,As I set off I had a fleeting glimpse of the leer of pure delight on Simkin 's face . 
9564,fear,"Yummy RT @deltops: God forbid, y wld I eat rat for $50000. factor sucks"
9565,surprise,Fighting with my mom about clothes 
9566,fear,"When I was cycling to school, I nearly got knocked down by a car which (overtook me too closely) did not give me any swerving space."
9567,fear,"But straightway Jesus spake unto them, saying , Be of good cheer ; it is I; be not afraid. Matthew 14:27 #not"
9568,fear,I fear before each exam.
9569,fear,i& is trusting in the good . fear is putting your trust in the bad ...   ...
9570,sadness, I knew this would happen some day ... 
9571,sadness,At the death of my husband's father's mother which occurred during university examinations and therefore I was unable to attend her funeral.
9572,surprise,Next country that's a &quot
9573,disgust,I hate when girls in soccer rub up all against you dude we are not playing basketball theirs a huge field #backoff
9574,joy,Yet again stupidly early for work 
9575,joy,After a difficult exam. When I had not hoped to take it and had got a high mark. When you present someone with something and he feels glad.
9576,surprise,Finally didn't dress like a bum today . 
9577,disgust,"It's some sick people in this world... messin with lil boys, "
9578,fear,"My two guitars, after a lot of years together,had decided to fell the night I was seeing Paranormal Activity #scaredtodeath"
9579,sadness," Don't mention it . The thesis due date is coming , but my thesis isn't even close to being done . "
9580,sadness,I still play All-Star Baseball 2004 and 2005 on PlayStation 2. I can keep Reyes on the Mets there. 
9581,joy, Thanks . 
9582,sadness,"His head , craning neck ; one moment high , straining to the ceiling ; then , a sigh , utter dejection , dropped down between his knees , his forehead pressed to the floor . "
9583,sadness,Missing you lots already Soumya Jain! Can't wait till you're done your degree and en route back home forever! 
9584,joy,I choose  over  choose  over  choose over #selfdoubt.&#xA
9585,anger,@MeganLynne4 thanks meg!  I have PLENTY of that to go around! I wouldn't want to guard me today lol takin out some serious 
9586,sadness,"@greysonchance &quot;dont too much to hope , it will make you too much to hurt&quot; should i say it to you my idol ? "
9587,sadness,@AustinMahone i am glad you had fun at your concert .... I really wish you would RT me ... I feel like giving up trying :'( .... 
9588,surprise,My parents are the ones that make me late. Not me. 
9589,sadness,"At work, and every blonde girl that passes I think it's @ambscrowe94... I miss her! "
9590,sadness,@janawalker10 Just found out the hard way that I'm to old for leg wrestling! Body does bend like it used to! 
9591,fear,@AshleyBrooke181 @jazzybell31 @brooklynrp4 My back is kind of hurting today...but its probably just that getting to me.
9592,joy,The highest vibration in the Universe.IS  It sends shivers of up my spine!  for #peace &amp
9593,disgust,Ppl at wrk be slamming down their lunch so they can go smoke their nasty ass cigarettes ... 
9594,sadness,` But other people became very sad and worried . 
9595,disgust,I swear the most homosexual thing I have ever seen is brown guys taking pictures in their bathroom mirrors x 
9596,anger,When a boy tried to fool me so he would be OK trying to show me that he is a gook boy.
9597,surprise,"RT, follow @unitednude and WIN one of the 5 special collector items that we are giving away to our Twitter friends! #RT #WIN"
9598,joy,Holiday party with the ladies  
9599,joy,"It's  - Film Friday that is. Deep Blue Sea, Snowtown, Wuthering Heights all out today! "
9600,anger,WHAT THE FUCKINGGGGGGGGG FUCKK!! x-factor is racist and stupid.. And fixed #ChucksMic
9601,anger,Annoying people who rung you and then hang up once you pick up the phone 
9602,sadness,"It was a pretty despondent group that sat around the fire of the LRDG patrol , each sunk in his own thoughts . "
9603,fear,Just knowing that factor OS coming back makes my whole entire night. #:)
9604,anger," I don't need your help , jerk . "
9605,neutral, Dark blue . 
9606,sadness,"The beach is ma BRAND NEW BFF,nd i dnt wana b seperated from ha by this long distance we wil go thru wen i go back home on its way#"
9607,sadness,"But for the time being , Private Morrison 's family , already overcome by grief , can only wait and hope his body will be released to them soon . "
9608,neutral, Is it ? 
9609,surprise,cant wait for my birthday weekend away with @philaspin :) 
9610,joy,Today i ate la paz batchoy for lunch   
9611,fear,Upon reading a story on a serial killer by the name of Henry Lee Lucas who has been given the distinction of killing more people that any other man. I began to wonder if I should take more care for my safety.
9612,surprise,@Naughty_Virgin … et t'as pas encore tout vu !!! 
9613,anger,When my father's new fiancee treats me like a child.  She does not trust me and constantly misunderstands me.  I get particularly angry when she says nasty things about my boyfriend with whom she works.
9614,joy,Getting Ready to Spend Time With Fam ---   and is What Life Is All About
9615,sadness,"I am so desolate -- oh , but please , it is all arranged and say no more . "" "
9616,surprise,"@HannyBananyyy @vinniepizza I've been pregnant you guys, the entire time we've known eachother.  "
9617,anger,When my bosom friend tried to lie to me.
9618,anger,"By this time , Mattie was feeling irked , not by Urquhart but by O'Neill . "
9619,sadness,I miss @thegraduate. a new cd would be coming out around now if they were still together. 
9620,joy,I wanna get the fuck outta this house but it doesn't look like its gonna happen. 
9621,fear,"I work at a day care centre, and one day when the children were outdoors a four-year old boy disappeared from the yard.  I was not looking after them then, but as the manager it was me who was responsible."
9622,fear,"Serasa smw menuntut tuk terjadi, segera. But my ego is doubting to its other one, pelan dan mematikan. This is bigger time after time."
9623,joy,Logged onto Twitter to a snazzy new setup!! And I am Loving it so far!! 
9624,joy,ten hour shift tomorrow...
9625,joy,I get an unexplainable from giving &amp
9626,anger,The high schoolers are warming up IN THE HALLWAY  
9627,joy,I get excited to go to the volleyball banquet..until I remember there like three hours long! 
9628,anger,"Lineker became incensed when Taylor went public , not only questioning whether Lineker should remain as captain , but whether his form justified a place in the side -- even though he was maintaining his phenomenal strike rate . "
9629,surprise,@MorgG19 and Brihanna Fitch are going to love mee!! (: i have a for them! woo
9630,joy,On the road again. Headed back to the 816. And then practice. 
9631,surprise,Bus driver wrote up some dude for being a constant problem. Wow. 
9632,sadness,When I had not understood anything after a lecture.
9633,surprise,"you just watched?! RT @dinikinss the movie 3 Idiots is amazing. So damn hilarious, I can't even. I love Aamir Khan♥♥♥♥♥"
9634,sadness,@KourtneyKardash @KimKardashian I missed  I was so exhausted from  that I fell asleep! :'(
9635,joy,Babysitting a small child with a BIG attitude 
9636,sadness,@JiffyRockets haha your oh so very welcomee but you wont see me tomorrow either because i have a stu co district meeting:( 
9637,joy,It's paper writing time. 
9638,sadness," But I often skip his classes , and he doesn't like me . "
9639,neutral, I see . 
9640,fear, Just get over here ! 
9641,joy,"Tomorrow I have two lectures, two tutorials and a 2 hour seminar with 10 minutes between each of them. "
9642,fear,"So shall they fear the name of the Lord from the west, and his glory from the rising of the sun..... & 59:19 (KJV) #glory #God"
9643,sadness,"@StampedeBlue as we were driving in the 4th I looked at my best friend on the couch and said &quot;he's gonna throw a pick, watch...&quot; "
9644,joy,"Congratulations , Vivian . You won the grand prize , again . "
9645,joy,My mother decided she's not boycotting Christmas this year which means we're actually gonna have a tree! And presents! 
9646,sadness,lost a friend = lost a piece a my heart &lt
9647,joy,j'ai hate de voir le sourire de ma grand-mère quand elle va voir le nombre de sacs de bonbons qu'on lui a acheté pour sa fête :)  
9648,neutral, That sucks . 
9649,anger,Androids should make an ansta-gram. @MiAmor_DiorX is making me jealous with her instagramm. 
9650,joy,The situation in which I felt happiest in my life was when I was with the person I love for the first time.
9651,sadness,They all seem terribly sad . 
9652,surprise,@TheXFactorUSA I accidentally found out who went &amp
9653,joy,&quot
9654,sadness,"My newer, slightly-preferred non-Starbucks coffee shop in WestCo closed. "
9655,joy,Reading a letter from a close friend who said he missed me and cared for me.
9656,surprise,Wow Haha er zit nog lijm aan mn vinger! 
9657,neutral, 3 weeks 
9658,sadness,@irishduke2 we are in the same house... why could you not just say this to my face? oh thats right you have no balls 
9659,joy,"Don't recommend changing in a parking lot.. Once I got dressed, some creep was watching me and smiling.  "
9660,fear,"Bye bye direction la salle; squat, hack squat, ischio etc #heavy"
9661,surprise,@Gods_Choosen93 &lt
9662,fear,@mamzelle_liliz oui mais le proctologue porte à confusion chez un certain public...  :p
9663,sadness, Perhaps . I'm dead tired . 
9664,sadness,"Tomorrow will be fulfilled, 3 months, that my aunt died, and I feel terrible "
9665,surprise,"Brilliant, first Xmas present for my gf arrived today, she picks it up and it says on the front of the packet exactly whats inside "
9666,sadness,I really became sad when mother passed away while I was very young.
9667,joy,I had an interview for entry into college. The results were to be announced on radio. After a long period of waiting the results were released. I had succeded - tension was relieved by joy.
9668,fear,"[Or hear,] I do not  in   am SURE of it, and I am not #saved because I feel no worthiness in me?"
9669,neutral, No . 
9670,anger,"I felt much anger and perhaps I feel it till now, against my girlfriend's sister who incited her to betray me just when I needed her very much. She didn't think of anything, simply passed over everything."
9671,neutral," Don ’ t worry , I can handle that . And I know if the boss is there , even it is an informal evening , it does not make a good impression to get totally drunk in front of him . "
9672,surprise,I love getting graduation money six months late  
9673,joy,"Saucy Sunday in Seattle - Family Joy, Xmas Decorating, NFL, Fire and Tea!   "
9674,sadness,"Feeling desolate , she climbed back into the car , not daring to look at Roman in the silver moonlight . "
9675,joy, Great . I got to try so many things for the first time . 
9676,joy,Pizza and power nap now its time to go back to work.. 
9677,neutral," Oh , yes . I like playing basketball . "
9678,joy,So I have a hectic ass day n a few hours yet I can't sleep....-__- 
9679,sadness,Love is such a big word to only have four letters and it's used so incorrectly everyday.. 
9680,disgust,In many schools in the 1960s a revulsion against decontextualised exercises brought about a complete abandonment of the teaching of grammar . 
9681,fear,After having taken an exam i feared having failed it.
9682,anger,@mcRuffian happened to me and my  too. They made me buy it back for 100€ under threat of a knife..   
9683,joy,great anger management today 
9684,joy,"I have fucking study skills tomorrow, a& #hanging"
9685,disgust,"People from grade school need to grow the fuck up. Sorry you're lives are going nowhere, have fun with your boring pathetic lives. "
9686,joy,i cant keep a serious face when people ask me a serious question and when i tell them the truth they dont believe me..#notgood
9687,fear, Gon Pay CapCity a Visit Later this Week... *A Moment of Silence for All these Dead Rappers* 
9688,joy,Coming back tomorrow 
9689,sadness,No twitter for 2 weeks I shall die... Bye bye twitter see ya in 14 days...  #notweetsfromme
9690,joy,getting ready for my dads company party here tonight... 
9691,joy, Good bye . 
9692,joy, I'll be at your house at about 5:30 . Happy birthday . 
9693,joy,im gonna miss teen mom tonight cause ill be at work stilllll... 
9694,fear,"Not afraid of tomorrow, for I have seen yesterday and I love today #less."
9695,surprise,Nog heel hard bezig om de laatste dingen te regelen voor vanavond   #cadeau !!!!
9696,fear,Walking in the dark and thinking about ghost stories.
9697,fear,Customer who collects pens just gave me one from her collection its discontinued. I'm afraid to use it. It comes in its own box. 
9698,joy,&quot
9699,sadness,"At one point in a relationship, my boyfriend was seeing an old flame more than me. At our confrontation tears were shed."
9700,anger,"After an exhausting day I came home and wanted to take a bath to relax. My father wanted to take a bath first and when he had finished after an hour, there was no hot water left for me."
9701,neutral,Excuse me . Could you please take a picture of us with this camera ? 
9702,surprise, my 16th birthday party...I was scared shitless 
9703,neutral, And next ? 
9704,joy, Sure.Where would you suggest ? 
9705,joy,washing up for the 3rd time today.  Only now it's every plate and pan we own plus the arse has been burnt out of half the pans.  
9706,joy,My being admitted to university.
9707,sadness,I wish I could watching @familyforce5 tear it up at the wearhouse right now... But can't do shows on school nights. #III #FF5
9708,joy,Tremayne was pink with gratification . 
9709,joy,Your life is constantly whispering the right answers to you-- &amp
9710,joy,@JennGitt can't explain the happiness in me right now I love you
9711,sadness,Whats that mean? RT @MelLauricel :O I have unauthorized access to my Ave Maria College emials #officallygone
9712,joy,"amazing night, with an amazing guy&lt;3 & time to make a chai latte and study my ass off for tomorrow. #gonnabealongnight"
9713,fear,When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit.
9714,neutral, I know ... 
9715,joy,Www.letsmove.gov  My energy is for you to tap into  Anytime you're feeling???my goal to SERVE you #helpmate #preparing GET FIT
9716,sadness, We should plan to move out of here before July . I'm tired of living in apartments . 
